Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,539.03,10025,-25.625,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,3,6.85,36.83905,76.91661
-14700,1.8,539.029875,10045,-25.621,,,,,,,,,,,,,,,,
-14400,3.6,539.029625,10019,-25.621,,,,,,,,,,,,,,,,
-14100,5.4,539.0305,9988.6,-25.623,,,,,,,,,,,,,,,,
-13800,7.2,539.030125,10024,-25.621,,,,,,,,,,,,,,,,
-13500,9,539.0305,10030,-25.625,,,,,,,,,,,,,,,,
-13200,10.8,539.0305,10003,-25.521,,,,,,,,,,,,,,,,
-12900,12.6,539.029375,10011,-25.624,,,,,,,,,,,,,,,,
-12600,14.4,539.027375,9979.8,-25.622,,,,,,,,,,,,,,,,
-12300,16.2,539.025125,10033,-25.623,,,,,,,,,,,,,,,,
-12000,18,539.021125,10007,-25.621,,,,,,,,,,,,,,,,
-11700,19.8,539.01725,10009,-25.627,,,,,,,,,,,,,,,,
-11400,21.6,539.0125,10020,-25.628,,,,,,,,,,,,,,,,
-11100,23.4,539.00775,9985.3,-25.631,,,,,,,,,,,,,,,,
-10800,25.2,539.002625,10039,-25.629,,,,,,,,,,,,,,,,
-10500,27,538.9975,10009,-25.638,,,,,,,,,,,,,,,,
-10200,28.8,538.992375,9989.1,-25.637,,,,,,,,,,,,,,,,
-9900,30.6,538.986875,10006,-25.644,,,,,,,,,,,,,,,,
-9600,32.4,538.98075,9978.6,-25.649,,,,,,,,,,,,,,,,
-9300,34.2,538.976625,10011,-25.655,,,,,,,,,,,,,,,,
-9000,36,538.9705,9963.5,-25.651,,,,,,,,,,,,,,,,
-8700,37.8,538.964875,9979.8,-25.656,,,,,,,,,,,,,,,,
-8400,39.6,538.95925,10001,-25.658,,,,,,,,,,,,,,,,
-8100,41.4,538.953625,9990.1,-25.662,,,,,,,,,,,,,,,,
-7800,43.2,538.948625,9969.5,-25.668,,,,,,,,,,,,,,,,
-7500,45,538.942875,10007,-25.673,,,,,,,,,,,,,,,,
-7200,46.8,538.937375,9954.8,-25.675,,,,,,,,,,,,,,,,
-6900,48.6,538.93175,9923.7,-25.678,,,,,,,,,,,,,,,,
-6600,50.4,538.92576,9968.1,-25.682,,,,,,,,,,,,,,,,
-6300,52.2,538.920875,9937.6,-25.689,,,,,,,,,,,,,,,,
-6000,54,538.91575,9947.7,-25.692,,,,,,,,,,,,,,,,
-5700,55.8,538.909875,9929.6,-25.697,,,,,,,,,,,,,,,,
-5400,57.6,538.90425,9922,-25.696,,,,,,,,,,,,,,,,
-5100,59.4,538.898875,9897.7,-25.705,,,,,,,,,,,,,,,,
-4800,61.2,538.894,9920.5,-25.71,,,,,,,,,,,,,,,,
-4500,63,538.8875,9909.8,-25.705,,,,,,,,,,,,,,,,
-4200,64.8,538.882,9911.8,-25.716,,,,,,,,,,,,,,,,
-3900,66.6,538.877375,9904,-25.71,,,,,,,,,,,,,,,,
-3600,68.4,538.871625,9903.1,-25.719,,,,,,,,,,,,,,,,
-3300,70.2,538.86625,9893.8,-25.728,,,,,,,,,,,,,,,,
-3000,72,538.860875,9927.7,-25.727,,,,,,,,,,,,,,,,
-2700,73.8,538.856625,9912.1,-25.728,,,,,,,,,,,,,,,,
-2400,75.6,538.851125,9909.7,-25.734,,,,,,,,,,,,,,,,
-2100,77.4,538.84575,9869.3,-25.736,,,,,,,,,,,,,,,,
-1800,79.2,538.84,9911.8,-25.739,,,,,,,,,,,,,,,,
-1500,81,538.836,9913.2,-25.745,,,,,,,,,,,,,,,,
-1200,82.8,538.831625,9877.9,-25.746,,,,,,,,,,,,,,,,
-900,84.6,538.828375,9907.4,-25.744,,,,,,,,,,,,,,,,
-600,86.4,538.82575,9894.4,-25.746,,,,,,,,,,,,,,,,
-300,88.2,538.822625,9875,-25.744,,,,,,,,,,,,,,,,
0,90,538.820125,9871.9,-25.745,,,,,,,,,,,,,,,,
