Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,804.6627906,11277,-21.848,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,5,6.85,36.82207,76.8427
-14700,1.8,804.6631969,11290,-21.89,,,,,,,,,,,,,,,,
-14400,3.6,804.6628719,11274,-21.89,,,,,,,,,,,,,,,,
-14100,5.4,804.6628719,11263,-21.883,,,,,,,,,,,,,,,,
-13800,7.2,804.6630344,11274,-21.884,,,,,,,,,,,,,,,,
-13500,9,804.6634406,11286,-21.883,,,,,,,,,,,,,,,,
-13200,10.8,804.6632781,11285,-21.887,,,,,,,,,,,,,,,,
-12900,12.6,804.6630344,11271,-21.888,,,,,,,,,,,,,,,,
-12600,14.4,804.661775,11276,-21.885,,,,,,,,,,,,,,,,
-12300,16.2,804.6588094,11268,-21.887,,,,,,,,,,,,,,,,
-12000,18,804.6540156,11272,-21.886,,,,,,,,,,,,,,,,
-11700,19.8,804.648125,11265,-21.893,,,,,,,,,,,,,,,,
-11400,21.6,804.6418688,11274,-21.889,,,,,,,,,,,,,,,,
-11100,23.4,804.6356531,11272,-21.897,,,,,,,,,,,,,,,,
-10800,25.2,804.6282594,11270,-21.897,,,,,,,,,,,,,,,,
-10500,27,804.6200938,11265,-21.893,,,,,,,,,,,,,,,,
-10200,28.8,804.6117656,11252,-21.907,,,,,,,,,,,,,,,,
-9900,30.6,804.6049406,11253,-21.909,,,,,,,,,,,,,,,,
-9600,32.4,804.5962875,11253,-21.915,,,,,,,,,,,,,,,,
-9300,34.2,804.5878375,11237,-21.917,,,,,,,,,,,,,,,,
-9000,36,804.5799969,11224,-21.919,,,,,,,,,,,,,,,,
-8700,37.8,804.5708969,11234,-21.926,,,,,,,,,,,,,,,,
-8400,39.6,804.5642344,11233,-21.929,,,,,,,,,,,,,,,,
-8100,41.4,804.5548906,11209,-21.932,,,,,,,,,,,,,,,,
-7800,43.2,804.5472125,11204,-21.941,,,,,,,,,,,,,,,,
-7500,45,804.5383969,11213,-21.946,,,,,,,,,,,,,,,,
-7200,46.8,804.5300281,11199,-21.952,,,,,,,,,,,,,,,,
-6900,48.6,804.5218188,11197,-21.955,,,,,,,,,,,,,,,,
-6600,50.4,804.5132094,11193,-21.961,,,,,,,,,,,,,,,,
-6300,52.2,804.5048,11180,-21.964,,,,,,,,,,,,,,,,
-6000,54,804.4971219,11169,-21.969,,,,,,,,,,,,,,,,
-5700,55.8,804.4878594,11179,-21.976,,,,,,,,,,,,,,,,
-5400,57.6,804.4791656,11158,-21.978,,,,,,,,,,,,,,,,
-5100,59.4,804.4714875,11159,-21.982,,,,,,,,,,,,,,,,
-4800,61.2,804.4636469,11153,-21.989,,,,,,,,,,,,,,,,
-4500,63,804.4548719,11140,-21.993,,,,,,,,,,,,,,,,
-4200,64.8,804.4471938,11149,-21.996,,,,,,,,,,,,,,,,
-3900,66.6,804.4392313,11142,-22.002,,,,,,,,,,,,,,,,
-3600,68.4,804.4304969,11123,-22.004,,,,,,,,,,,,,,,,
-3300,70.2,804.4221688,11118,-22.008,,,,,,,,,,,,,,,,
-3000,72,804.4144906,11125,-22.01,,,,,,,,,,,,,,,,
-2700,73.8,804.4064875,11115,-22.017,,,,,,,,,,,,,,,,
-2400,75.6,804.3979156,11099,-22.023,,,,,,,,,,,,,,,,
-2100,77.4,804.3901156,11090,-22.021,,,,,,,,,,,,,,,,
-1800,79.2,804.3815031,11098,-22.033,,,,,,,,,,,,,,,,
-1500,81,804.3749625,11083,-22.032,,,,,,,,,,,,,,,,
-1200,82.8,804.3673656,11107,-22.036,,,,,,,,,,,,,,,,
-900,84.6,804.3628156,11097,-22.037,,,,,,,,,,,,,,,,
-600,86.4,804.3605,11078,-22.039,,,,,,,,,,,,,,,,
-300,88.2,804.3562344,11079,-22.033,,,,,,,,,,,,,,,,
0,90,804.352375,11086,-22.032,,,,,,,,,,,,,,,,
