Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,423.098375,9679,-29.506,0.006,7LR,66041.3 mature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,2,6.85,33.11123,69.1441,0.004239316,0.01847863
-14700,1.8,423.0985625,9667,-29.51,,,,,,,,,,,,,,,,,,
-14400,3.6,423.0984375,9681.4,-29.507,,,,,,,,,,,,,,,,,,
-14100,5.4,423.098875,9686.7,-29.506,,,,,,,,,,,,,,,,,,
-13800,7.2,423.0988125,9658.4,-29.505,,,,,,,,,,,,,,,,,,
-13500,9,423.0981563,9739.9,-29.506,,,,,,,,,,,,,,,,,,
-13200,10.8,423.0980625,9672,-29.512,,,,,,,,,,,,,,,,,,
-12900,12.6,423.0985313,9690.4,-29.501,,,,,,,,,,,,,,,,,,
-12600,14.4,423.098,9719.8,-29.506,,,,,,,,,,,,,,,,,,
-12300,16.2,423.0980938,9667.5,-29.505,,,,,,,,,,,,,,,,,,
-12000,18,423.0980313,9681.6,-29.506,,,,,,,,,,,,,,,,,,
-11700,19.8,423.098,9695.3,-29.513,,,,,,,,,,,,,,,,,,
-11400,21.6,423.0980313,9676.3,-29.508,,,,,,,,,,,,,,,,,,
-11100,23.4,423.098,9678.6,-29.513,,,,,,,,,,,,,,,,,,
-10800,25.2,423.0982188,9668.5,-29.51,,,,,,,,,,,,,,,,,,
-10500,27,423.098125,9662.5,-29.507,,,,,,,,,,,,,,,,,,
-10200,28.8,423.0984375,9700.2,-29.523,,,,,,,,,,,,,,,,,,
-9900,30.6,423.0987813,9687.2,-29.517,,,,,,,,,,,,,,,,,,
-9600,32.4,423.0980625,9720.2,-29.517,,,,,,,,,,,,,,,,,,
-9300,34.2,423.098,9668.5,-29.515,,,,,,,,,,,,,,,,,,
-9000,36,423.0981875,9656.1,-29.516,,,,,,,,,,,,,,,,,,
-8700,37.8,423.0980625,9672.4,-29.525,,,,,,,,,,,,,,,,,,
-8400,39.6,423.0981875,9647.5,-29.523,,,,,,,,,,,,,,,,,,
-8100,41.4,423.0983254,9640.8,-29.523,,,,,,,,,,,,,,,,,,
-7800,43.2,423.0975938,9655.6,-25.522,,,,,,,,,,,,,,,,,,
-7500,45,423.0987188,9662.5,-25.529,,,,,,,,,,,,,,,,,,
-7200,46.8,423.0985625,9675,-29.529,,,,,,,,,,,,,,,,,,
-6900,48.6,423.0986563,9648.5,-29.526,,,,,,,,,,,,,,,,,,
-6600,50.4,423.0981875,9686.4,-29.526,,,,,,,,,,,,,,,,,,
-6300,52.2,423.0985625,9677.8,-29.53,,,,,,,,,,,,,,,,,,
-6000,54,423.098375,9680.6,-29.528,,,,,,,,,,,,,,,,,,
-5700,55.8,423.0981875,9687.1,-29.537,,,,,,,,,,,,,,,,,,
-5400,57.6,423.0982188,9668.1,-29.531,,,,,,,,,,,,,,,,,,
-5100,59.4,423.0984375,9667.6,-29.534,,,,,,,,,,,,,,,,,,
-4800,61.2,423.0979063,9636.9,-29.369,,,,,,,,,,,,,,,,,,
-4500,63,423.0983125,9636.3,-29.537,,,,,,,,,,,,,,,,,,
-4200,64.8,423.09825,9637.8,-29.536,,,,,,,,,,,,,,,,,,
-3900,66.6,423.0984063,9662.8,-29.539,,,,,,,,,,,,,,,,,,
-3600,68.4,423.0981563,9648.6,-29.534,,,,,,,,,,,,,,,,,,
-3300,70.2,423.09925,9632.8,-29.547,,,,,,,,,,,,,,,,,,
-3000,72,423.09825,9640.9,-29.549,,,,,,,,,,,,,,,,,,
-2700,73.8,423.0982813,9619.2,-29.548,,,,,,,,,,,,,,,,,,
-2400,75.6,423.0989375,9629.3,-29.55,,,,,,,,,,,,,,,,,,
-2100,77.4,423.0987813,9685.8,-29.545,,,,,,,,,,,,,,,,,,
-1800,79.2,423.098875,9647.4,-29.543,,,,,,,,,,,,,,,,,,
-1500,81,423.0986875,9630.6,-29.547,,,,,,,,,,,,,,,,,,
-1200,82.8,423.0985313,9644.2,-29.555,,,,,,,,,,,,,,,,,,
-900,84.6,423.0987188,9608.6,-29.554,,,,,,,,,,,,,,,,,,
-600,86.4,423.098875,9665.6,-29.55,,,,,,,,,,,,,,,,,,
-300,88.2,423.0989375,9651.5,-29.551,,,,,,,,,,,,,,,,,,
0,90,423.0987813,9632.1,-29.545,,,,,,,,,,,,,,,,,,
