Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,334.8142156,9546.4,-38.452,0.006,5LR,63501.5 submature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,1,6.85,36.84752,76.95364
-14700,1.8,334.8141938,9550.6,-38.461,,,,,,,,,,,,,,,,
-14400,3.6,334.8147625,9551.6,-38.457,,,,,,,,,,,,,,,,
-14100,5.4,334.8144781,9540.7,-38.461,,,,,,,,,,,,,,,,
-13800,7.2,334.8145219,9581.2,-38.455,,,,,,,,,,,,,,,,
-13500,9,334.8146531,9548.4,-38.464,,,,,,,,,,,,,,,,
-13200,10.8,334.8143688,9554.9,-38.463,,,,,,,,,,,,,,,,
-12900,12.6,334.8143031,9540.4,-38.462,,,,,,,,,,,,,,,,
-12600,14.4,334.8136031,9545,-38.461,,,,,,,,,,,,,,,,
-12300,16.2,334.8118531,9553.6,-38.462,,,,,,,,,,,,,,,,
-12000,18,334.8098625,9536.9,-38.468,,,,,,,,,,,,,,,,
-11700,19.8,334.8075438,9535,-38.466,,,,,,,,,,,,,,,,
-11400,21.6,334.8048531,9529,-38.46,,,,,,,,,,,,,,,,
-11100,23.4,334.8019656,9563.7,-38.468,,,,,,,,,,,,,,,,
-10800,25.2,334.7990125,9553.6,-38.476,,,,,,,,,,,,,,,,
-10500,27,334.7955125,9523.5,-38.472,,,,,,,,,,,,,,,,
-10200,28.8,334.7921,9545.5,-38.475,,,,,,,,,,,,,,,,
-9900,30.6,334.7884688,9527.7,-38.481,,,,,,,,,,,,,,,,
-9600,32.4,334.7857781,9514.3,-38.489,,,,,,,,,,,,,,,,
-9300,34.2,334.7816875,9535.5,-38.484,,,,,,,,,,,,,,,,
-9000,36,334.7783188,9536.6,-38.486,,,,,,,,,,,,,,,,
-8700,37.8,334.7751031,9519,-38.489,,,,,,,,,,,,,,,,
-8400,39.6,334.7711438,9524.3,-38.495,,,,,,,,,,,,,,,,
-8100,41.4,334.767775,9512.7,-38.498,,,,,,,,,,,,,,,,
-7800,43.2,334.763925,9515.6,-38.495,,,,,,,,,,,,,,,,
-7500,45,334.76025,9517.4,-38.503,,,,,,,,,,,,,,,,
-7200,46.8,334.7567719,9502.6,-38.505,,,,,,,,,,,,,,,,
-6900,48.6,334.7531406,9526.6,-38.505,,,,,,,,,,,,,,,,
-6600,50.4,334.7500563,9513.6,-38.512,,,,,,,,,,,,,,,,
-6300,52.2,334.7462938,9517.2,-38.503,,,,,,,,,,,,,,,,
-6000,54,334.7427938,9497.5,-38.514,,,,,,,,,,,,,,,,
-5700,55.8,334.7393813,9488.1,-38.515,,,,,,,,,,,,,,,,
-5400,57.6,334.73575,9528.9,-38.509,,,,,,,,,,,,,,,,
-5100,59.4,334.7325344,9498.3,-38.52,,,,,,,,,,,,,,,,
-4800,61.2,334.7290563,9478.6,-38.526,,,,,,,,,,,,,,,,
-4500,63,334.7256656,9487.6,-38.526,,,,,,,,,,,,,,,,
-4200,64.8,334.7221,9460.9,-38.535,,,,,,,,,,,,,,,,
-3900,66.6,334.7187094,9477.9,-38.529,,,,,,,,,,,,,,,,
-3600,68.4,334.7160406,9479.2,-38.539,,,,,,,,,,,,,,,,
-3300,70.2,334.7129781,9492.4,-38.537,,,,,,,,,,,,,,,,
-3000,72,334.7105719,9468.5,-38.541,,,,,,,,,,,,,,,,
-2700,73.8,334.7084938,9478.5,-38.541,,,,,,,,,,,,,,,,
-2400,75.6,334.7066344,9481.4,-38.542,,,,,,,,,,,,,,,,
-2100,77.4,334.7048625,9494.3,-38.546,,,,,,,,,,,,,,,,
-1800,79.2,334.7030906,9465.3,-38.543,,,,,,,,,,,,,,,,
-1500,81,334.7012094,9451.8,-38.541,,,,,,,,,,,,,,,,
-1200,82.8,334.7004219,9463.3,-38.542,,,,,,,,,,,,,,,,
-900,84.6,334.6989563,9494.2,-38.543,,,,,,,,,,,,,,,,
-600,86.4,334.6967469,9492.9,-38.551,,,,,,,,,,,,,,,,
-300,88.2,334.6947125,9492.2,-38.552,,,,,,,,,,,,,,,,
0,90,334.6931156,9473.9,-38.551,,,,,,,,,,,,,,,,
