Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,539.03175,10020,-25.439,0.006,5LR,63501.5 submature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,3,6.85,36.83905,76.91661
-14700,1.8,539.031375,10001,-25.434,,,,,,,,,,,,,,,,
-14400,3.6,539.030875,10011,-25.444,,,,,,,,,,,,,,,,
-14100,5.4,539.032,10009,-25.441,,,,,,,,,,,,,,,,
-13800,7.2,539.0315,10011,-25.44,,,,,,,,,,,,,,,,
-13500,9,539.031875,10019,-25.438,,,,,,,,,,,,,,,,
-13200,10.8,539.031875,10006,-25.447,,,,,,,,,,,,,,,,
-12900,12.6,539.0315,10016,-25.451,,,,,,,,,,,,,,,,
-12600,14.4,539.030375,10029,-25.444,,,,,,,,,,,,,,,,
-12300,16.2,539.029125,10032,-25.446,,,,,,,,,,,,,,,,
-12000,18,539.025875,10042,-25.442,,,,,,,,,,,,,,,,
-11700,19.8,539.023,10027,-25.446,,,,,,,,,,,,,,,,
-11400,21.6,539.018625,9993.2,-25.454,,,,,,,,,,,,,,,,
-11100,23.4,539.0135,9990.7,-25.459,,,,,,,,,,,,,,,,
-10800,25.2,539.008875,9986.3,-25.457,,,,,,,,,,,,,,,,
-10500,27,539.004125,9991,-25.464,,,,,,,,,,,,,,,,
-10200,28.8,538.99825,10021,-25.465,,,,,,,,,,,,,,,,
-9900,30.6,538.992875,9976.6,-25.474,,,,,,,,,,,,,,,,
-9600,32.4,538.98775,9985.9,-25.484,,,,,,,,,,,,,,,,
-9300,34.2,538.981875,10009,-25.465,,,,,,,,,,,,,,,,
-9000,36,538.976875,9988.1,-25.479,,,,,,,,,,,,,,,,
-8700,37.8,538.971375,9953.5,-25.48,,,,,,,,,,,,,,,,
-8400,39.6,538.964875,9959.1,-25.477,,,,,,,,,,,,,,,,
-8100,41.4,538.958625,9963.2,-25.488,,,,,,,,,,,,,,,,
-7800,43.2,538.953,9961.6,-25.486,,,,,,,,,,,,,,,,
-7500,45,538.947,9934.6,-25.492,,,,,,,,,,,,,,,,
-7200,46.8,538.94125,9940.2,-25.498,,,,,,,,,,,,,,,,
-6900,48.6,538.935875,9965.6,-25.498,,,,,,,,,,,,,,,,
-6600,50.4,538.92975,9959,-25.5,,,,,,,,,,,,,,,,
-6300,52.2,538.92425,9957.9,-25.499,,,,,,,,,,,,,,,,
-6000,54,538.91875,9960.8,-25.503,,,,,,,,,,,,,,,,
-5700,55.8,538.91275,9933.3,-25.519,,,,,,,,,,,,,,,,
-5400,57.6,538.9075,9956.5,-25.519,,,,,,,,,,,,,,,,
-5100,59.4,538.900875,9966.9,-25.52,,,,,,,,,,,,,,,,
-4800,61.2,538.8955,9920.4,-25.523,,,,,,,,,,,,,,,,
-4500,63,538.891375,9921.4,-25.533,,,,,,,,,,,,,,,,
-4200,64.8,538.885625,9901.4,-25.536,,,,,,,,,,,,,,,,
-3900,66.6,538.88,9982.1,-25.543,,,,,,,,,,,,,,,,
-3600,68.4,538.8745,9926.1,-25.54,,,,,,,,,,,,,,,,
-3300,70.2,538.86975,9954.3,-25.541,,,,,,,,,,,,,,,,
-3000,72,538.86575,9919.6,-25.545,,,,,,,,,,,,,,,,
-2700,73.8,538.86175,9939,-25.532,,,,,,,,,,,,,,,,
-2400,75.6,538.859,9932.4,-25.533,,,,,,,,,,,,,,,,
-2100,77.4,538.856375,9949,-25.535,,,,,,,,,,,,,,,,
-1800,79.2,538.85275,9937.1,-25.551,,,,,,,,,,,,,,,,
-1500,81,538.850375,9928,-25.539,,,,,,,,,,,,,,,,
-1200,82.8,538.847875,9932,-25.549,,,,,,,,,,,,,,,,
-900,84.6,538.845125,9943.1,-25.551,,,,,,,,,,,,,,,,
-600,86.4,538.842375,9911,-25.548,,,,,,,,,,,,,,,,
-300,88.2,538.841,9910.4,-25.544,,,,,,,,,,,,,,,,
0,90,538.83725,9916.5,-25.545,,,,,,,,,,,,,,,,
