Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,668.3538594,10368,-23.443,0.006,5LR,63501.5 submature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,4,6.85,33.09979,69.09438,0.01694067,0.07387422
-14700,1.8,668.35425,10388,-23.438,,,,,,,,,,,,,,,,,,
-14400,3.6,668.3542813,10344,-23.441,,,,,,,,,,,,,,,,,,
-14100,5.4,668.3537656,10371,-23.447,,,,,,,,,,,,,,,,,,
-13800,7.2,668.353875,10388,-23.447,,,,,,,,,,,,,,,,,,
-13500,9,668.3542188,10374,-23.449,,,,,,,,,,,,,,,,,,
-13200,10.8,668.354125,10373,-23.446,,,,,,,,,,,,,,,,,,
-12900,12.6,668.3544375,10380,-23.443,,,,,,,,,,,,,,,,,,
-12600,14.4,668.3540469,10374,-23.441,,,,,,,,,,,,,,,,,,
-12300,16.2,668.3539375,10360,-23.441,,,,,,,,,,,,,,,,,,
-12000,18,668.3537656,10365,-23.441,,,,,,,,,,,,,,,,,,
-11700,19.8,668.3547344,10376,-23.447,,,,,,,,,,,,,,,,,,
-11400,21.6,668.3540313,10404,-23.446,,,,,,,,,,,,,,,,,,
-11100,23.4,668.3538438,10371,-23.431,,,,,,,,,,,,,,,,,,
-10800,25.2,668.3544375,10354,-23.442,,,,,,,,,,,,,,,,,,
-10500,27,668.3549063,10350,-23.433,,,,,,,,,,,,,,,,,,
-10200,28.8,668.3536406,10393,-23.441,,,,,,,,,,,,,,,,,,
-9900,30.6,668.3531406,10365,-23.444,,,,,,,,,,,,,,,,,,
-9600,32.4,668.3537656,10383,-23.433,,,,,,,,,,,,,,,,,,
-9300,34.2,668.353875,10372,-23.451,,,,,,,,,,,,,,,,,,
-9000,36,668.3537656,10356,-23.443,,,,,,,,,,,,,,,,,,
-8700,37.8,668.3538594,10348,-23.434,,,,,,,,,,,,,,,,,,
-8400,39.6,668.3538594,10371,-23.439,,,,,,,,,,,,,,,,,,
-8100,41.4,668.3532969,10341,-23.441,,,,,,,,,,,,,,,,,,
-7800,43.2,668.3538594,10365,-23.441,,,,,,,,,,,,,,,,,,
-7500,45,668.3528281,10349,-23.444,,,,,,,,,,,,,,,,,,
-7200,46.8,668.3539375,10353,-23.438,,,,,,,,,,,,,,,,,,
-6900,48.6,668.3538438,10373,-23.457,,,,,,,,,,,,,,,,,,
-6600,50.4,668.3537656,10348,-23.449,,,,,,,,,,,,,,,,,,
-6300,52.2,668.3527344,10341,-23.448,,,,,,,,,,,,,,,,,,
-6000,54,668.353875,10352,-23.46,,,,,,,,,,,,,,,,,,
-5700,55.8,668.3538438,10357,-23.468,,,,,,,,,,,,,,,,,,
-5400,57.6,668.353875,10323,-23.459,,,,,,,,,,,,,,,,,,
-5100,59.4,668.3542031,10331,-23.472,,,,,,,,,,,,,,,,,,
-4800,61.2,668.353875,10336,-23.466,,,,,,,,,,,,,,,,,,
-4500,63,668.353875,10330,-23.461,,,,,,,,,,,,,,,,,,
-4200,64.8,668.3538438,10321,-23.472,,,,,,,,,,,,,,,,,,
-3900,66.6,668.3545,10323,-23.474,,,,,,,,,,,,,,,,,,
-3600,68.4,668.3537656,10331,-23.466,,,,,,,,,,,,,,,,,,
-3300,70.2,668.3543281,10350,-23.474,,,,,,,,,,,,,,,,,,
-3000,72,668.3542969,10324,-23.473,,,,,,,,,,,,,,,,,,
-2700,73.8,668.3538594,10342,-23.461,,,,,,,,,,,,,,,,,,
-2400,75.6,668.3545,10353,-23.471,,,,,,,,,,,,,,,,,,
-2100,77.4,668.3537969,10321,-23.47,,,,,,,,,,,,,,,,,,
-1800,79.2,668.3537656,10358,-23.465,,,,,,,,,,,,,,,,,,
-1500,81,668.3537656,10341,-23.452,,,,,,,,,,,,,,,,,,
-1200,82.8,668.3538594,10321,-23.463,,,,,,,,,,,,,,,,,,
-900,84.6,668.353875,10341,-23.474,,,,,,,,,,,,,,,,,,
-600,86.4,668.3538594,10340,-23.461,,,,,,,,,,,,,,,,,,
-300,88.2,668.353875,10340,-23.468,,,,,,,,,,,,,,,,,,
0,90,668.3539375,10334,-23.467,,,,,,,,,,,,,,,,,,
