Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,804.657875,11264,-21.75,0.006,5LR,63501.5 submature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,5,6.85,36.82207,76.8427
-14700,1.8,804.6575907,11260,-21.751,,,,,,,,,,,,,,,,
-14400,3.6,804.6575906,11254,-21.753,,,,,,,,,,,,,,,,
-14100,5.4,804.6574281,11255,-21.749,,,,,,,,,,,,,,,,
-13800,7.2,804.6576313,11257,-21.751,,,,,,,,,,,,,,,,
-13500,9,804.6576313,11265,-21.753,,,,,,,,,,,,,,,,
-13200,10.8,804.6572656,11274,-21.75,,,,,,,,,,,,,,,,
-12900,12.6,804.656575,11264,-21.748,,,,,,,,,,,,,,,,
-12600,14.4,804.6538531,11264,-21.75,,,,,,,,,,,,,,,,
-12300,16.2,804.649425,11265,-21.747,,,,,,,,,,,,,,,,
-12000,18,804.6441438,11252,-21.755,,,,,,,,,,,,,,,,
-11700,19.8,804.6389031,11262,-21.757,,,,,,,,,,,,,,,,
-11400,21.6,804.6314688,11257,-21.76,,,,,,,,,,,,,,,,
-11100,23.4,804.6251313,11259,-21.759,,,,,,,,,,,,,,,,
-10800,25.2,804.6167219,11253,-21.766,,,,,,,,,,,,,,,,
-10500,27,804.6085563,11250,-21.768,,,,,,,,,,,,,,,,
-10200,28.8,804.6012844,11250,-21.766,,,,,,,,,,,,,,,,
-9900,30.6,804.5926719,11228,-21.763,,,,,,,,,,,,,,,,
-9600,32.4,804.5845063,11235,-21.769,,,,,,,,,,,,,,,,
-9300,34.2,804.5754469,11236,-21.779,,,,,,,,,,,,,,,,
-9000,36,804.5670375,11229,-21.779,,,,,,,,,,,,,,,,
-8700,37.8,804.5576531,11231,-21.785,,,,,,,,,,,,,,,,
-8400,39.6,804.5494469,11216,-21.787,,,,,,,,,,,,,,,,
-8100,41.4,804.5410781,11215,-21.79,,,,,,,,,,,,,,,,
-7800,43.2,804.5318156,11209,-21.802,,,,,,,,,,,,,,,,
-7500,45,804.5235688,11203,-21.804,,,,,,,,,,,,,,,,
-7200,46.8,804.5146719,11206,-21.802,,,,,,,,,,,,,,,,
-6900,48.6,804.5060188,11202,-21.811,,,,,,,,,,,,,,,,
-6600,50.4,804.4974063,11204,-21.816,,,,,,,,,,,,,,,,
-6300,52.2,804.4885094,11181,-21.814,,,,,,,,,,,,,,,,
-6000,54,804.4808719,11180,-21.821,,,,,,,,,,,,,,,,
-5700,55.8,804.4712031,11174,-21.82,,,,,,,,,,,,,,,,
-5400,57.6,804.4625094,11182,-21.825,,,,,,,,,,,,,,,,
-5100,59.4,804.4546688,11167,-21.829,,,,,,,,,,,,,,,,
-4800,61.2,804.4465844,11169,-21.838,,,,,,,,,,,,,,,,
-4500,63,804.4382969,11164,-21.838,,,,,,,,,,,,,,,,
-4200,64.8,804.4298875,11156,-21.842,,,,,,,,,,,,,,,,
-3900,66.6,804.4215594,11136,-21.845,,,,,,,,,,,,,,,,
-3600,68.4,804.4138,11144,-21.846,,,,,,,,,,,,,,,,
-3300,70.2,804.4077063,11142,-21.853,,,,,,,,,,,,,,,,
-3000,72,804.4027906,11161,-21.853,,,,,,,,,,,,,,,,
-2700,73.8,804.3981188,11147,-21.849,,,,,,,,,,,,,,,,
-2400,75.6,804.3941781,11143,-21.854,,,,,,,,,,,,,,,,
-2100,77.4,804.39105,11150,-21.853,,,,,,,,,,,,,,,,
-1800,79.2,804.3865,11151,-21.854,,,,,,,,,,,,,,,,
-1500,81,804.3821125,11148,-21.855,,,,,,,,,,,,,,,,
-1200,82.8,804.3784969,11150,-21.853,,,,,,,,,,,,,,,,
-900,84.6,804.3756938,11131,-21.852,,,,,,,,,,,,,,,,
-600,86.4,804.3710625,11144,-21.857,,,,,,,,,,,,,,,,
-300,88.2,804.3675281,11152,-21.859,,,,,,,,,,,,,,,,
0,90,804.3633438,11141,-21.863,,,,,,,,,,,,,,,,
