Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,423.09975,9701,-29.457,0.006,5LR,63501.5 submature highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,2,6.85,33.11123,69.1441,0.004239316,0.01847863
-14700,1.8,423.0997813,9712.5,-29.458,,,,,,,,,,,,,,,,,,
-14400,3.6,423.0997813,9684.4,-29.455,,,,,,,,,,,,,,,,,,
-14100,5.4,423.0999688,9706.1,-29.456,,,,,,,,,,,,,,,,,,
-13800,7.2,423.0997188,9645.2,-29.457,,,,,,,,,,,,,,,,,,
-13500,9,423.0997188,9688.6,-29.459,,,,,,,,,,,,,,,,,,
-13200,10.8,423.1000938,9721.9,-29.458,,,,,,,,,,,,,,,,,,
-12900,12.6,423.0999688,9686,-29.459,,,,,,,,,,,,,,,,,,
-12600,14.4,423.0995938,9651.5,-29.451,,,,,,,,,,,,,,,,,,
-12300,16.2,423.0997813,9689.3,-29.457,,,,,,,,,,,,,,,,,,
-12000,18,423.0997813,9713.1,-29.461,,,,,,,,,,,,,,,,,,
-11700,19.8,423.0999688,9702,-29.464,,,,,,,,,,,,,,,,,,
-11400,21.6,423.100125,9662.5,-29.458,,,,,,,,,,,,,,,,,,
-11100,23.4,423.0997813,9676.6,-29.452,,,,,,,,,,,,,,,,,,
-10800,25.2,423.0996875,9688,-29.454,,,,,,,,,,,,,,,,,,
-10500,27,423.1004063,9685.6,-29.458,,,,,,,,,,,,,,,,,,
-10200,28.8,423.10025,9708.3,-29.461,,,,,,,,,,,,,,,,,,
-9900,30.6,423.0998125,9659.4,-29.461,,,,,,,,,,,,,,,,,,
-9600,32.4,423.0996875,9684.1,-29.467,,,,,,,,,,,,,,,,,,
-9300,34.2,423.1002813,9715.5,-29.46,,,,,,,,,,,,,,,,,,
-9000,36,423.0997188,9651.1,-29.466,,,,,,,,,,,,,,,,,,
-8700,37.8,423.0997813,9676.1,-29.476,,,,,,,,,,,,,,,,,,
-8400,39.6,423.0997813,9682,-29.469,,,,,,,,,,,,,,,,,,
-8100,41.4,423.0997188,9700.9,-29.476,,,,,,,,,,,,,,,,,,
-7800,43.2,423.0997813,9683.3,-29.473,,,,,,,,,,,,,,,,,,
-7500,45,423.100125,9669.9,-29.476,,,,,,,,,,,,,,,,,,
-7200,46.8,423.0997813,9700.3,-29.474,,,,,,,,,,,,,,,,,,
-6900,48.6,423.1000938,9668.5,-29.471,,,,,,,,,,,,,,,,,,
-6600,50.4,423.0997188,9684.5,-29.471,,,,,,,,,,,,,,,,,,
-6300,52.2,423.1000313,9685.5,"-29,470",,,,,,,,,,,,,,,,,,
-6000,54,423.1000625,9661.1,-29.475,,,,,,,,,,,,,,,,,,
-5700,55.8,423.1000625,9666.4,-29.471,,,,,,,,,,,,,,,,,,
-5400,57.6,423.1000938,9695.3,-29.471,,,,,,,,,,,,,,,,,,
-5100,59.4,423.0999063,9670.1,-29.476,,,,,,,,,,,,,,,,,,
-4800,61.2,423.1002813,9671.2,-29.48,,,,,,,,,,,,,,,,,,
-4500,63,423.0999688,9659.8,-29.486,,,,,,,,,,,,,,,,,,
-4200,64.8,423.1001875,9666.3,-29.485,,,,,,,,,,,,,,,,,,
-3900,66.6,423.0997813,9686.8,-29.474,,,,,,,,,,,,,,,,,,
-3600,68.4,423.0994688,9706.4,-29.481,,,,,,,,,,,,,,,,,,
-3300,70.2,423.0996563,9706.2,-29.474,,,,,,,,,,,,,,,,,,
-3000,72,423.1000938,9674.7,-29.482,,,,,,,,,,,,,,,,,,
-2700,73.8,423.0997188,9647.7,-29.477,,,,,,,,,,,,,,,,,,
-2400,75.6,423.0997813,9665,-29.483,,,,,,,,,,,,,,,,,,
-2100,77.4,423.099625,9669.2,-29.478,,,,,,,,,,,,,,,,,,
-1800,79.2,423.0998438,9660.4,-29.479,,,,,,,,,,,,,,,,,,
-1500,81,423.0998125,9653.6,-29.476,,,,,,,,,,,,,,,,,,
-1200,82.8,423.1001875,9688.1,-29.479,,,,,,,,,,,,,,,,,,
-900,84.6,423.1000625,9665.7,-29.474,,,,,,,,,,,,,,,,,,
-600,86.4,423.0997813,9656.8,-29.474,,,,,,,,,,,,,,,,,,
-300,88.2,423.0996563,9652.7,-29.478,,,,,,,,,,,,,,,,,,
0,90,423.0994063,9673.1,-29.484,,,,,,,,,,,,,,,,,,
