Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Es,Aeff_E,epsrh,epsih
-15000,0,804.6579969,11257,-21.816,0.006,7LR,14163.774 submature mafic highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,5,6.85,36.82207,76.8427,2.55,0.0011475
-14700,1.8,804.6579969,11268,-21.814,,,,,,,,,,,,,,,,,,
-14400,3.6,804.6580781,11265,-21.817,,,,,,,,,,,,,,,,,,
-14100,5.4,804.6579156,11259,-21.817,,,,,,,,,,,,,,,,,,
-13800,7.2,804.6575094,11274,-21.814,,,,,,,,,,,,,,,,,,
-13500,9,804.6575094,11264,-21.818,,,,,,,,,,,,,,,,,,
-13200,10.8,804.6579969,11267,-21.815,,,,,,,,,,,,,,,,,,
-12900,12.6,804.6579563,11249,-21.814,,,,,,,,,,,,,,,,,,
-12600,14.4,804.6562906,11257,-21.814,,,,,,,,,,,,,,,,,,
-12300,16.2,804.6530406,11255,-21.812,,,,,,,,,,,,,,,,,,
-12000,18,804.6490594,11250,-21.814,,,,,,,,,,,,,,,,,,
-11700,19.8,804.6432906,11267,-21.814,,,,,,,,,,,,,,,,,,
-11400,21.6,804.6363844,11245,-21.816,,,,,,,,,,,,,,,,,,
-11100,23.4,804.6287469,11248,-21.822,,,,,,,,,,,,,,,,,,
-10800,25.2,804.6203781,11248,-21.829,,,,,,,,,,,,,,,,,,
-10500,27,804.6126188,11228,-21.834,,,,,,,,,,,,,,,,,,
-10200,28.8,804.6033156,11230,-21.837,,,,,,,,,,,,,,,,,,
-9900,30.6,804.5945406,11215,-21.849,,,,,,,,,,,,,,,,,,
-9600,32.4,804.5856031,11207,-21.858,,,,,,,,,,,,,,,,,,
-9300,34.2,804.5763406,11202,-21.857,,,,,,,,,,,,,,,,,,
-9000,36,804.5673625,11200,-21.862,,,,,,,,,,,,,,,,,,
-8700,37.8,804.5583438,11183,-21.867,,,,,,,,,,,,,,,,,,
-8400,39.6,804.54965,11160,-21.881,,,,,,,,,,,,,,,,,,
-8100,41.4,804.5410781,11165,-21.885,,,,,,,,,,,,,,,,,,
-7800,43.2,804.5313688,11171,-21.894,,,,,,,,,,,,,,,,,,
-7500,45,804.5227563,11160,-21.905,,,,,,,,,,,,,,,,,,
-7200,46.8,804.5139406,11160,-21.909,,,,,,,,,,,,,,,,,,
-6900,48.6,804.5047594,11143,-21.916,,,,,,,,,,,,,,,,,,
-6600,50.4,804.4965938,11126,-21.921,,,,,,,,,,,,,,,,,,
-6300,52.2,804.4874938,11122,-21.919,,,,,,,,,,,,,,,,,,
-6000,54,804.4784344,11118,-21.928,,,,,,,,,,,,,,,,,,
-5700,55.8,804.470675,11115,-21.934,,,,,,,,,,,,,,,,,,
-5400,57.6,804.4618594,11090,-21.942,,,,,,,,,,,,,,,,,,
-5100,59.4,804.4534906,11100,-21.941,,,,,,,,,,,,,,,,,,
-4800,61.2,804.4454469,11082,-21.948,,,,,,,,,,,,,,,,,,
-4500,63,804.4369156,11066,-21.951,,,,,,,,,,,,,,,,,,
-4200,64.8,804.4289531,11067,-21.96,,,,,,,,,,,,,,,,,,
-3900,66.6,804.4208688,11064,-21.961,,,,,,,,,,,,,,,,,,
-3600,68.4,804.41315,11061,-21.967,,,,,,,,,,,,,,,,,,
-3300,70.2,804.4069344,11041,-21.974,,,,,,,,,,,,,,,,,,
-3000,72,804.4012063,11070,-21.977,,,,,,,,,,,,,,,,,,
-2700,73.8,804.3974688,11056,-21.973,,,,,,,,,,,,,,,,,,
-2400,75.6,804.3934875,11034,-21.975,,,,,,,,,,,,,,,,,,
-2100,77.4,804.3890594,11049,-21.973,,,,,,,,,,,,,,,,,,
-1800,79.2,804.3862156,11056,-21.976,,,,,,,,,,,,,,,,,,
-1500,81,804.3821125,11043,-21.975,,,,,,,,,,,,,,,,,,
-1200,82.8,804.37805,11066,-21.973,,,,,,,,,,,,,,,,,,
-900,84.6,804.3750844,11036,-21.974,,,,,,,,,,,,,,,,,,
-600,86.4,804.3719969,11046,-21.977,,,,,,,,,,,,,,,,,,
-300,88.2,804.3674469,11056,-21.979,,,,,,,,,,,,,,,,,,
0,90,804.3637094,11050,-21.98,,,,,,,,,,,,,,,,,,
