Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Hs,Aeff_H,Aeff_Es,Aeff_E,Old Aeff_Hs,Old Aeff_H,epsrh,epsrs,epsih,epsis
-15000,0,668.3560156,10349,-23.529,0.006,7LR,14163.774 submature mafic highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,4,6.85,29.43118,61.43623,0.01694067,0.07387422,33.09979,69.0943,2.55,3.45,0.0011475,0.005578
-14700,1.8,668.3555625,10350,-23.532,,,,,,,,,,,,,,,,,,,,,,,,
-14400,3.6,668.3551719,10360,-23.533,,,,,,,,,,,,,,,,,,,,,,,,
-14100,5.4,668.3556406,10341,-23.525,,,,,,,,,,,,,,,,,,,,,,,,
-13800,7.2,668.3547344,10353,-23.529,,,,,,,,,,,,,,,,,,,,,,,,
-13500,9,668.3556563,10348,-23.528,,,,,,,,,,,,,,,,,,,,,,,,
-13200,10.8,668.3551719,10363,-23.532,,,,,,,,,,,,,,,,,,,,,,,,
-12900,12.6,668.3556875,10355,-23.533,,,,,,,,,,,,,,,,,,,,,,,,
-12600,14.4,668.35525,10353,-23.525,,,,,,,,,,,,,,,,,,,,,,,,
-12300,16.2,668.3550625,10344,-23.53,,,,,,,,,,,,,,,,,,,,,,,,
-12000,18,668.3551719,10330,-23.534,,,,,,,,,,,,,,,,,,,,,,,,
-11700,19.8,668.3552344,10371,-23.534,,,,,,,,,,,,,,,,,,,,,,,,
-11400,21.6,668.3551719,10348,-23.532,,,,,,,,,,,,,,,,,,,,,,,,
-11100,23.4,668.3552969,10373,-23.543,,,,,,,,,,,,,,,,,,,,,,,,
-10800,25.2,668.3555781,10328,-23.538,,,,,,,,,,,,,,,,,,,,,,,,
-10500,27,668.3543594,10334,-23.541,,,,,,,,,,,,,,,,,,,,,,,,
-10200,28.8,668.3551719,10329,-23.543,,,,,,,,,,,,,,,,,,,,,,,,
-9900,30.6,668.3545,10345,-23.542,,,,,,,,,,,,,,,,,,,,,,,,
-9600,32.4,668.3547344,10353,-23.554,,,,,,,,,,,,,,,,,,,,,,,,
-9300,34.2,668.3552656,10319,-23.557,,,,,,,,,,,,,,,,,,,,,,,,
-9000,36,668.353875,10297,-23.556,,,,,,,,,,,,,,,,,,,,,,,,
-8700,37.8,668.3542969,10309,-23.553,,,,,,,,,,,,,,,,,,,,,,,,
-8400,39.6,668.3545313,10330,-23.557,,,,,,,,,,,,,,,,,,,,,,,,
-8100,41.4,668.3547344,10335,-23.564,,,,,,,,,,,,,,,,,,,,,,,,
-7800,43.2,668.3547969,10287,-23.565,,,,,,,,,,,,,,,,,,,,,,,,
-7500,45,668.3537656,10293,-23.573,,,,,,,,,,,,,,,,,,,,,,,,
-7200,46.8,668.3545156,10313,-23.568,,,,,,,,,,,,,,,,,,,,,,,,
-6900,48.6,668.3546719,10305,-23.571,,,,,,,,,,,,,,,,,,,,,,,,
-6600,50.4,668.35375,10275,-23.575,,,,,,,,,,,,,,,,,,,,,,,,
-6300,52.2,668.35475,10291,-23.575,,,,,,,,,,,,,,,,,,,,,,,,
-6000,54,668.354125,10323,-23.577,,,,,,,,,,,,,,,,,,,,,,,,
-5700,55.8,668.3535469,10288,-23.583,,,,,,,,,,,,,,,,,,,,,,,,
-5400,57.6,668.3548906,10286,-23.578,,,,,,,,,,,,,,,,,,,,,,,,
-5100,59.4,668.353875,10278,-23.576,,,,,,,,,,,,,,,,,,,,,,,,
-4800,61.2,668.3541875,10284,-23.584,,,,,,,,,,,,,,,,,,,,,,,,
-4500,63,668.3538594,10286,-23.59,,,,,,,,,,,,,,,,,,,,,,,,
-4200,64.8,668.3543594,10260,-23.586,,,,,,,,,,,,,,,,,,,,,,,,
-3900,66.6,668.3547969,10278,-23.589,,,,,,,,,,,,,,,,,,,,,,,,
-3600,68.4,668.3538438,10305,-23.587,,,,,,,,,,,,,,,,,,,,,,,,
-3300,70.2,668.353875,10278,-23.589,,,,,,,,,,,,,,,,,,,,,,,,
-3000,72,668.3545156,10270,-23.602,,,,,,,,,,,,,,,,,,,,,,,,
-2700,73.8,668.3536406,10274,-23.599,,,,,,,,,,,,,,,,,,,,,,,,
-2400,75.6,668.3536406,10248,-23.594,,,,,,,,,,,,,,,,,,,,,,,,
-2100,77.4,668.3540469,10288,-23.595,,,,,,,,,,,,,,,,,,,,,,,,
-1800,79.2,668.3541875,10271,-23.594,,,,,,,,,,,,,,,,,,,,,,,,
-1500,81,668.3545,10291,-23.592,,,,,,,,,,,,,,,,,,,,,,,,
-1200,82.8,668.353875,10279,-23.59,,,,,,,,,,,,,,,,,,,,,,,,
-900,84.6,668.3537031,10264,-23.596,,,,,,,,,,,,,,,,,,,,,,,,
-600,86.4,668.353125,10265,-23.595,,,,,,,,,,,,,,,,,,,,,,,,
-300,88.2,668.3537656,10285,-23.595,,,,,,,,,,,,,,,,,,,,,,,,
0,90,668.353875,10262,-23.597,,,,,,,,,,,,,,,,,,,,,,,,
