Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Aeff_Es,Aeff_E,epsrh,epsih
-15000,0,334.8174094,9550.5,-38.462,0.006,7LR,14163.774 submature mafic highland,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,1,6.85,36.84752,76.95364,2.55,1.15E-03
-14700,1.8,334.8169719,9576.1,-38.458,,,,,,,,,,,,,,,,,,
-14400,3.6,334.8173438,9553.5,-38.456,,,,,,,,,,,,,,,,,,
-14100,5.4,334.8171469,9573.4,-38.462,,,,,,,,,,,,,,,,,,
-13800,7.2,334.8172125,9563.4,-38.461,,,,,,,,,,,,,,,,,,
-13500,9,334.816775,9552.7,-38.459,,,,,,,,,,,,,,,,,,
-13200,10.8,334.8173,9562.7,-38.464,,,,,,,,,,,,,,,,,,
-12900,12.6,334.8164688,9544.1,-38.461,,,,,,,,,,,,,,,,,,
-12600,14.4,334.8154188,9551.2,-38.466,,,,,,,,,,,,,,,,,,
-12300,16.2,334.81415,9549.1,-38.463,,,,,,,,,,,,,,,,,,
-12000,18,334.8115469,9536.3,-38.461,,,,,,,,,,,,,,,,,,
-11700,19.8,334.8090531,9548.8,-38.459,,,,,,,,,,,,,,,,,,
-11400,21.6,334.8059031,9550.6,-38.469,,,,,,,,,,,,,,,,,,
-11100,23.4,334.8032125,9550.5,-38.476,,,,,,,,,,,,,,,,,,
-10800,25.2,334.7995156,9529.5,-38.48,,,,,,,,,,,,,,,,,,
-10500,27,334.796125,9527.9,-38.485,,,,,,,,,,,,,,,,,,
-10200,28.8,334.7923625,9533.6,-38.482,,,,,,,,,,,,,,,,,,
-9900,30.6,334.7884469,9514,-38.489,,,,,,,,,,,,,,,,,,
-9600,32.4,334.7850125,9524.5,-38.501,,,,,,,,,,,,,,,,,,
-9300,34.2,334.7809219,9501.6,-38.505,,,,,,,,,,,,,,,,,,
-9000,36,334.7772031,9529,-38.517,,,,,,,,,,,,,,,,,,
-8700,37.8,334.7733313,9523,-38.516,,,,,,,,,,,,,,,,,,
-8400,39.6,334.7693063,9482.8,-38.519,,,,,,,,,,,,,,,,,,
-8100,41.4,334.7657406,9513,-38.522,,,,,,,,,,,,,,,,,,
-7800,43.2,334.7616063,9497.1,-38.531,,,,,,,,,,,,,,,,,,
-7500,45,334.7583906,9456.4,-38.541,,,,,,,,,,,,,,,,,,
-7200,46.8,334.7551313,9470.7,-38.542,,,,,,,,,,,,,,,,,,
-6900,48.6,334.75115,9494.8,-38.552,,,,,,,,,,,,,,,,,,
-6600,50.4,334.7478906,9442.4,-38.555,,,,,,,,,,,,,,,,,,
-6300,52.2,334.7439094,9465.4,-38.559,,,,,,,,,,,,,,,,,,
-6000,54,334.7408469,9440.5,-38.563,,,,,,,,,,,,,,,,,,
-5700,55.8,334.7373688,9476.8,-38.565,,,,,,,,,,,,,,,,,,
-5400,57.6,334.7336938,9462,-38.575,,,,,,,,,,,,,,,,,,
-5100,59.4,334.7300844,9433.7,-38.58,,,,,,,,,,,,,,,,,,
-4800,61.2,334.7272625,9440.7,-38.585,,,,,,,,,,,,,,,,,,
-4500,63,334.7235,9428.8,-38.587,,,,,,,,,,,,,,,,,,
-4200,64.8,334.7202844,9409.2,-38.589,,,,,,,,,,,,,,,,,,
-3900,66.6,334.7165656,9425.6,-38.598,,,,,,,,,,,,,,,,,,
-3600,68.4,334.7145094,9420.2,-38.601,,,,,,,,,,,,,,,,,,
-3300,70.2,334.7116438,9401.9,-38.603,,,,,,,,,,,,,,,,,,
-3000,72,334.710025,9420,-38.605,,,,,,,,,,,,,,,,,,
-2700,73.8,334.7080781,9426.8,-38.598,,,,,,,,,,,,,,,,,,
-2400,75.6,334.7069406,9416.5,-38.608,,,,,,,,,,,,,,,,,,
-2100,77.4,334.7046875,9423.3,-38.608,,,,,,,,,,,,,,,,,,
-1800,79.2,334.7041844,9433.4,-38.609,,,,,,,,,,,,,,,,,,
-1500,81,334.7024781,9423.5,-38.606,,,,,,,,,,,,,,,,,,
-1200,82.8,334.7006406,9419.4,-38.611,,,,,,,,,,,,,,,,,,
-900,84.6,334.6988469,9426.6,-38.614,,,,,,,,,,,,,,,,,,
-600,86.4,334.6977313,9436.4,-38.612,,,,,,,,,,,,,,,,,,
-300,88.2,334.6962219,9409.3,-38.617,,,,,,,,,,,,,,,,,,
0,90,334.6942969,9408.4,-38.617,,,,,,,,,,,,,,,,,,
