Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,334.817475,9547.2,-38.451,0.006,4LR,15041.40 Mature Low TI Mare,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,1,6.85,36.84752,76.95364
-14700,1.8,334.8180875,9571.1,-38.456,,,,,,,,,,,,,,,,
-14400,3.6,334.8176719,9552,-38.455,,,,,,,,,,,,,,,,
-14100,5.4,334.818175,9563.3,-38.458,,,,,,,,,,,,,,,,
-13800,7.2,334.8178469,9537.4,-38.46,,,,,,,,,,,,,,,,
-13500,9,334.8180219,9564.4,-38.459,,,,,,,,,,,,,,,,
-13200,10.8,334.8180875,9559.1,-38.454,,,,,,,,,,,,,,,,
-12900,12.6,334.8175188,9561.4,-38.46,,,,,,,,,,,,,,,,
-12600,14.4,334.8167969,9546.9,-38.455,,,,,,,,,,,,,,,,
-12300,16.2,334.8157906,9551.2,-38.456,,,,,,,,,,,,,,,,
-12000,18,334.8140625,9558.6,-38.461,,,,,,,,,,,,,,,,
-11700,19.8,334.8112406,9556.7,-38.457,,,,,,,,,,,,,,,,
-11400,21.6,334.8084844,9557.1,-38.46,,,,,,,,,,,,,,,,
-11100,23.4,334.8053781,9557.8,-38.465,,,,,,,,,,,,,,,,
-10800,25.2,334.8023813,9534.6,-38.467,,,,,,,,,,,,,,,,
-10500,27,334.7984875,9550.9,-38.474,,,,,,,,,,,,,,,,
-10200,28.8,334.7953594,9537.1,-38.482,,,,,,,,,,,,,,,,
-9900,30.6,334.7915969,9533.5,-38.488,,,,,,,,,,,,,,,,
-9600,32.4,334.7883813,9516.7,-38.495,,,,,,,,,,,,,,,,
-9300,34.2,334.7842031,9488.8,-38.5,,,,,,,,,,,,,,,,
-9000,36,334.7807688,9497.6,-38.503,,,,,,,,,,,,,,,,
-8700,37.8,334.7769406,9501.9,-38.506,,,,,,,,,,,,,,,,
-8400,39.6,334.7729813,9493.4,-38.525,,,,,,,,,,,,,,,,
-8100,41.4,334.7692844,9488.2,-38.521,,,,,,,,,,,,,,,,
-7800,43.2,334.765325,9500.7,-38.527,,,,,,,,,,,,,,,,
-7500,45,334.762175,9465.4,-38.541,,,,,,,,,,,,,,,,
-7200,46.8,334.7579969,9472.4,-38.552,,,,,,,,,,,,,,,,
-6900,48.6,334.7540594,9489,-38.551,,,,,,,,,,,,,,,,
-6600,50.4,334.7502531,9462.2,-38.554,,,,,,,,,,,,,,,,
-6300,52.2,334.7467094,9441.9,-38.564,,,,,,,,,,,,,,,,
-6000,54,334.7429469,9439.6,-38.57,,,,,,,,,,,,,,,,
-5700,55.8,334.7397969,9444,-38.571,,,,,,,,,,,,,,,,
-5400,57.6,334.7356625,9435.8,-38.579,,,,,,,,,,,,,,,,
-5100,59.4,334.7324906,9452.3,-38.583,,,,,,,,,,,,,,,,
-4800,61.2,334.7290344,9416,-38.59,,,,,,,,,,,,,,,,
-4500,63,334.7247906,9418.6,-38.593,,,,,,,,,,,,,,,,
-4200,64.8,334.7218813,9422.6,-38.603,,,,,,,,,,,,,,,,
-3900,66.6,334.7193,9403.7,-38.608,,,,,,,,,,,,,,,,
-3600,68.4,334.7165,9429.7,-38.599,,,,,,,,,,,,,,,,
-3300,70.2,334.7144438,9402.3,-38.605,,,,,,,,,,,,,,,,
-3000,72,334.71335,9397.7,-38.608,,,,,,,,,,,,,,,,
-2700,73.8,334.7115781,9426.6,-38.603,,,,,,,,,,,,,,,,
-2400,75.6,334.7102,9396.5,-38.611,,,,,,,,,,,,,,,,
-2100,77.4,334.7081219,9393.3,-38.612,,,,,,,,,,,,,,,,
-1800,79.2,334.7068969,9409.5,-38.605,,,,,,,,,,,,,,,,
-1500,81,334.7047313,9411.2,-38.615,,,,,,,,,,,,,,,,
-1200,82.8,334.7037031,9417.1,-38.612,,,,,,,,,,,,,,,,
-900,84.6,334.7025219,9431.8,-38.611,,,,,,,,,,,,,,,,
-600,86.4,334.7009469,9420.7,-38.612,,,,,,,,,,,,,,,,
-300,88.2,334.699175,9423.4,-38.618,,,,,,,,,,,,,,,,
0,90,334.6974469,9386.8,-38.615,,,,,,,,,,,,,,,,
