Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,668.3556406,10361,-23.469,0.006,4LR,15041.40 mature low Ti Mare,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,4,6.85,33.09979,69.09438,0.01694067,0.07387422
-14700,1.8,668.3551719,10333,-23.482,,,,,,,,,,,,,,,,,,
-14400,3.6,668.3541875,10354,-23.481,,,,,,,,,,,,,,,,,,
-14100,5.4,668.3548281,10356,-23.491,,,,,,,,,,,,,,,,,,
-13800,7.2,668.3550625,10379,-23.489,,,,,,,,,,,,,,,,,,
-13500,9,668.354125,10346,-23.485,,,,,,,,,,,,,,,,,,
-13200,10.8,668.3545,10341,-23.49,,,,,,,,,,,,,,,,,,
-12900,12.6,668.3553594,10378,-23.483,,,,,,,,,,,,,,,,,,
-12600,14.4,668.3552344,10339,-23.49,,,,,,,,,,,,,,,,,,
-12300,16.2,668.3547031,10336,-23.486,,,,,,,,,,,,,,,,,,
-12000,18,668.3549219,10361,-23.491,,,,,,,,,,,,,,,,,,
-11700,19.8,668.3551719,10358,-23.485,,,,,,,,,,,,,,,,,,
-11400,21.6,668.3556406,10352,-23.491,,,,,,,,,,,,,,,,,,
-11100,23.4,668.3551719,10348,-23.486,,,,,,,,,,,,,,,,,,
-10800,25.2,668.3550938,10336,-23.498,,,,,,,,,,,,,,,,,,
-10500,27,668.3551875,10334,-23.5,,,,,,,,,,,,,,,,,,
-10200,28.8,668.3552344,10326,-23.516,,,,,,,,,,,,,,,,,,
-9900,30.6,668.3553594,10333,-23.525,,,,,,,,,,,,,,,,,,
-9600,32.4,668.3551875,10327,-23.525,,,,,,,,,,,,,,,,,,
-9300,34.2,668.3546563,10311,-23.527,,,,,,,,,,,,,,,,,,
-9000,36,668.3550625,10303,-23.538,,,,,,,,,,,,,,,,,,
-8700,37.8,668.3548281,10306,-23.534,,,,,,,,,,,,,,,,,,
-8400,39.6,668.3547344,10315,-23.536,,,,,,,,,,,,,,,,,,
-8100,41.4,668.3553125,10297,-23.542,,,,,,,,,,,,,,,,,,
-7800,43.2,668.3543594,10306,-23.543,,,,,,,,,,,,,,,,,,
-7500,45,668.3544531,10279,-23.551,,,,,,,,,,,,,,,,,,
-7200,46.8,668.354125,10300,-23.544,,,,,,,,,,,,,,,,,,
-6900,48.6,668.3542031,10295,-23.545,,,,,,,,,,,,,,,,,,
-6600,50.4,668.3539375,10280,-23.558,,,,,,,,,,,,,,,,,,
-6300,52.2,668.3542813,10276,-23.563,,,,,,,,,,,,,,,,,,
-6000,54,668.3544531,10288,-23.572,,,,,,,,,,,,,,,,,,
-5700,55.8,668.3545,10237,-23.581,,,,,,,,,,,,,,,,,,
-5400,57.6,668.3536406,10249,-23.577,,,,,,,,,,,,,,,,,,
-5100,59.4,668.3538594,10260,-23.59,,,,,,,,,,,,,,,,,,
-4800,61.2,668.3535156,10224,-23.602,,,,,,,,,,,,,,,,,,
-4500,63,668.354375,10242,-23.598,,,,,,,,,,,,,,,,,,
-4200,64.8,668.3538594,10237,-23.596,,,,,,,,,,,,,,,,,,
-3900,66.6,668.3539375,10220,-23.59,,,,,,,,,,,,,,,,,,
-3600,68.4,668.3533594,10231,-23.595,,,,,,,,,,,,,,,,,,
-3300,70.2,668.3545313,10217,-23.599,,,,,,,,,,,,,,,,,,
-3000,72,668.353875,10231,-23.603,,,,,,,,,,,,,,,,,,
-2700,73.8,668.3538594,10202,-23.593,,,,,,,,,,,,,,,,,,
-2400,75.6,668.3537656,10200,-23.59,,,,,,,,,,,,,,,,,,
-2100,77.4,668.3540469,10241,-23.595,,,,,,,,,,,,,,,,,,
-1800,79.2,668.3544375,10229,-23.593,,,,,,,,,,,,,,,,,,
-1500,81,668.3539375,10230,-23.605,,,,,,,,,,,,,,,,,,
-1200,82.8,668.3543281,10256,-23.611,,,,,,,,,,,,,,,,,,
-900,84.6,668.354125,10227,-23.612,,,,,,,,,,,,,,,,,,
-600,86.4,668.3536563,10220,-23.603,,,,,,,,,,,,,,,,,,
-300,88.2,668.3535625,10239,-23.593,,,,,,,,,,,,,,,,,,
0,90,668.3545,10239,-23.597,,,,,,,,,,,,,,,,,,
