Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff
-15000,0,539.030375,10017,-25.591,0.006,4LR,15041.40 Mature Low TI Mare,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,3,6.85,36.83905,76.91661
-14700,1.8,539.030875,10010,-25.584,,,,,,,,,,,,,,,,
-14400,3.6,539.030875,9996.7,-25.583,,,,,,,,,,,,,,,,
-14100,5.4,539.03125,10003,-25.59,,,,,,,,,,,,,,,,
-13800,7.2,539.031,10027,-25.592,,,,,,,,,,,,,,,,
-13500,9,539.030875,10013,-25.59,,,,,,,,,,,,,,,,
-13200,10.8,539.030875,10004,-25.586,,,,,,,,,,,,,,,,
-12900,12.6,539.030125,9999.1,-25.592,,,,,,,,,,,,,,,,
-12600,14.4,539.028875,10038,-25.593,,,,,,,,,,,,,,,,
-12300,16.2,539.027625,10022,-25.595,,,,,,,,,,,,,,,,
-12000,18,539.023875,10021,-25.59,,,,,,,,,,,,,,,,
-11700,19.8,539.02,9999.2,-25.593,,,,,,,,,,,,,,,,
-11400,21.6,539.015375,9988.8,-25.594,,,,,,,,,,,,,,,,
-11100,23.4,539.010875,10007,-25.6,,,,,,,,,,,,,,,,
-10800,25.2,539.005,10009,-25.6,,,,,,,,,,,,,,,,
-10500,27,539.000125,9984,-25.609,,,,,,,,,,,,,,,,
-10200,28.8,538.993875,10025,-25.607,,,,,,,,,,,,,,,,
-9900,30.6,538.98775,9980.1,-25.614,,,,,,,,,,,,,,,,
-9600,32.4,538.9825,9979.7,-25.623,,,,,,,,,,,,,,,,
-9300,34.2,538.976375,9989.1,-25.629,,,,,,,,,,,,,,,,
-9000,36,538.97,10043,-25.629,,,,,,,,,,,,,,,,
-8700,37.8,538.963375,9966.6,-25.642,,,,,,,,,,,,,,,,
-8400,39.6,538.95875,9946.5,-25.644,,,,,,,,,,,,,,,,
-8100,41.4,538.952125,9926.4,-25.657,,,,,,,,,,,,,,,,
-7800,43.2,538.946,9942,-25.661,,,,,,,,,,,,,,,,
-7500,45,538.940125,9969.5,-25.666,,,,,,,,,,,,,,,,
-7200,46.8,538.934,9955.8,-25.662,,,,,,,,,,,,,,,,
-6900,48.6,538.92825,9908.5,-25.671,,,,,,,,,,,,,,,,
-6600,50.4,538.921875,9907.4,-25.682,,,,,,,,,,,,,,,,
-6300,52.2,538.916375,9893.6,-25.685,,,,,,,,,,,,,,,,
-6000,54,538.909755,9901.3,-25.69,,,,,,,,,,,,,,,,
-5700,55.8,538.90375,9910.8,-25.693,,,,,,,,,,,,,,,,
-5400,57.6,538.898125,9900.5,-25.699,,,,,,,,,,,,,,,,
-5100,59.4,538.89275,9863.9,-25.703,,,,,,,,,,,,,,,,
-4800,61.2,538.887125,9848.8,-25.711,,,,,,,,,,,,,,,,
-4500,63,538.8815,9882.7,-25.717,,,,,,,,,,,,,,,,
-4200,64.8,538.876125,9873.6,-25.72,,,,,,,,,,,,,,,,
-3900,66.6,538.871625,9853.3,-25.72,,,,,,,,,,,,,,,,
-3600,68.4,538.868625,9857,-25.725,,,,,,,,,,,,,,,,
-3300,70.2,538.8655,9825.7,-25.725,,,,,,,,,,,,,,,,
-3000,72,538.862875,9846.3,-25.723,,,,,,,,,,,,,,,,
-2700,73.8,538.860375,9844.7,-25.724,,,,,,,,,,,,,,,,
-2400,75.6,538.857625,9845.7,-25.722,,,,,,,,,,,,,,,,
-2100,77.4,538.854875,9936.9,-25.719,,,,,,,,,,,,,,,,
-1800,79.2,538.852875,9913.7,-25.725,,,,,,,,,,,,,,,,
-1500,81,538.85,9893.2,-25.724,,,,,,,,,,,,,,,,
-1200,82.8,538.847625,9847.7,-25.723,,,,,,,,,,,,,,,,
-900,84.6,538.845125,9825.5,-25.725,,,,,,,,,,,,,,,,
-600,86.4,538.842625,9856.5,-25.729,,,,,,,,,,,,,,,,
-300,88.2,538.840125,9831.3,-25.726,,,,,,,,,,,,,,,,
0,90,538.837875,9862,-25.727,,,,,,,,,,,,,,,,
