Step,height (mm),Frequency (MHz),Q,Loss (dB),mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),WG_wall_thickness (mm),Mode,Sample OD (mm),Sample Aeff,Aeff,Sample Aeff Efield,Aeff Efield
-15000,0,423.1002188,9704.2,-29.468,0.006,4LR,15041.40 mature low Ti Mare,9.9,9.9,150.95,148.37,6.85,1003.3,500.202,99.53,13,2,6.85,33.11123,69.1441,0.004239316,0.01847863
-14700,1.8,423.1010313,9695.7,-29.475,,,,,,,,,,,,,,,,,,
-14400,3.6,423.101,9678.5,-29.468,,,,,,,,,,,,,,,,,,
-14100,5.4,423.1011875,9689.1,-29.465,,,,,,,,,,,,,,,,,,
-13800,7.2,423.1014688,9668.7,-29.465,,,,,,,,,,,,,,,,,,
-13500,9,423.1012813,9721.2,-29.467,,,,,,,,,,,,,,,,,,
-13200,10.8,423.10075,9695.8,-29.47,,,,,,,,,,,,,,,,,,
-12900,12.6,423.1015,9689.5,-29.463,,,,,,,,,,,,,,,,,,
-12600,14.4,423.1008438,9681,-29.466,,,,,,,,,,,,,,,,,,
-12300,16.2,423.1014063,9684.4,-29.473,,,,,,,,,,,,,,,,,,
-12000,18,423.100875,9712.8,-29.51,,,,,,,,,,,,,,,,,,
-11700,19.8,423.1004063,9652.2,-29.474,,,,,,,,,,,,,,,,,,
-11400,21.6,423.1001563,9665.8,-29.476,,,,,,,,,,,,,,,,,,
-11100,23.4,423.100875,9667.3,-29.483,,,,,,,,,,,,,,,,,,
-10800,25.2,423.1014063,9693.4,-29.483,,,,,,,,,,,,,,,,,,
-10500,27,423.1007813,9675.1,-29.488,,,,,,,,,,,,,,,,,,
-10200,28.8,423.1012188,9631.4,-29.493,,,,,,,,,,,,,,,,,,
-9900,30.6,423.1014063,9675.4,-29.491,,,,,,,,,,,,,,,,,,
-9600,32.4,423.1009688,9694.1,-29.492,,,,,,,,,,,,,,,,,,
-9300,34.2,423.10075,9660.7,-29.488,,,,,,,,,,,,,,,,,,
-9000,36,423.1014688,9672.9,-29.501,,,,,,,,,,,,,,,,,,
-8700,37.8,423.1009688,9651.9,-29.507,,,,,,,,,,,,,,,,,,
-8400,39.6,423.1004688,9666.7,-29.5,,,,,,,,,,,,,,,,,,
-8100,41.4,423.1004688,9639.3,-29.502,,,,,,,,,,,,,,,,,,
-7800,43.2,423.1009063,9656,-29.499,,,,,,,,,,,,,,,,,,
-7500,45,423.1005,9648.2,-29.507,,,,,,,,,,,,,,,,,,
-7200,46.8,423.1008125,9647.2,-29.498,,,,,,,,,,,,,,,,,,
-6900,48.6,423.1005,9642.3,-29.512,,,,,,,,,,,,,,,,,,
-6600,50.4,423.100875,9624.3,-29.503,,,,,,,,,,,,,,,,,,
-6300,52.2,423.1008125,9618.5,-29.52,,,,,,,,,,,,,,,,,,
-6000,54,423.0999688,9640.7,-29.516,,,,,,,,,,,,,,,,,,
-5700,55.8,423.10025,9639.6,-29.519,,,,,,,,,,,,,,,,,,
-5400,57.6,423.1006563,9601.2,-29.519,,,,,,,,,,,,,,,,,,
-5100,59.4,423.1009063,9640.4,-29.525,,,,,,,,,,,,,,,,,,
-4800,61.2,423.1011875,9615,-29.524,,,,,,,,,,,,,,,,,,
-4500,63,423.1005625,9614.3,29.528,,,,,,,,,,,,,,,,,,
-4200,64.8,423.0999688,9598.4,-29.527,,,,,,,,,,,,,,,,,,
-3900,66.6,423.1004375,9644.9,-29.535,,,,,,,,,,,,,,,,,,
-3600,68.4,423.1002813,9613.3,-29.528,,,,,,,,,,,,,,,,,,
-3300,70.2,423.1005625,9596.2,-29.527,,,,,,,,,,,,,,,,,,
-3000,72,423.1012188,9632.8,-29.521,,,,,,,,,,,,,,,,,,
-2700,73.8,423.1009063,9632.7,-29.527,,,,,,,,,,,,,,,,,,
-2400,75.6,423.1005313,9609.9,-29.522,,,,,,,,,,,,,,,,,,
-2100,77.4,423.0996875,9587.9,-29.526,,,,,,,,,,,,,,,,,,
-1800,79.2,423.0999688,9638.6,-29.527,,,,,,,,,,,,,,,,,,
-1500,81,423.1000938,9623.7,-29.533,,,,,,,,,,,,,,,,,,
-1200,82.8,423.1004375,9604,-29.53,,,,,,,,,,,,,,,,,,
-900,84.6,423.10025,9606.1,-29.54,,,,,,,,,,,,,,,,,,
-600,86.4,423.1002813,9636.6,-29.537,,,,,,,,,,,,,,,,,,
-300,88.2,423.1001875,9596.5,-29.53,,,,,,,,,,,,,,,,,,
0,90,423.1002188,9594.7,-29.527,,,,,,,,,,,,,,,,,,
